title,company,location,salary_min,salary_max,description,date_collected
Data Analyst,Multi Recruit,"Bangalore, Karnataka",500000.0,1500000.0,Measure the sales effectiveness efforts using data science/app/digital nudges. Should be able to work on the clickstream data Should be well versed and willing to work hands-on various Machine Learning techniques Skills Ability to lead a team of 5-6 members. Ability to work with large data sets and present conclusions to key stakeholders. Develop a clear understanding of the client’s business issue to inform the best approach to the problem. Root-cause analysis Define data requirements for crea…,2026-08-10
Data Analyst,Wissen Technology,"Bangalore, Karnataka",,,"Role- Data Analyst Experience- 2 to 5 years Location-Bangalore Job Role- ● Experience: Minimum of 2 years of professional experience in a data-heavy environment (E-commerce or Fintech experience is a plus). ● SQL Mastery: Exceptional ability to write complex joins, window functions, Analytical functions, and CTEs. Experience with high-scale databases (e.g., BigQuery, Hive, or Postgres). ● Scripting: Functional knowledge of Python for data manipulation (Pandas, NumPy) and basic automation script…",2026-08-10
Data Analyst,Graphene Services Pte Ltd,"Bangalore, Karnataka",,,"About Graphene Graphene is a Singapore Head quartered AI company which has been recognized as Singapore’s Best Start Up By Switzerland’s Seedstarsworld, and also been awarded as best AI platform for healthcare in Vivatech Paris. Graphene India is also a member of the exclusive NASSCOM Deeptech club. We are developing an AI plaform which is disrupting and replacing traditional Market Research with unbiased insights with a focus on healthcare, consumer goods and financial services. Graphene was f…",2026-08-10
Data Analyst,Indium,"Hyderabad, Telangana",,,"Requirements 1-3 years of experience in combined data analyst roles. Candidates should have strong knowledge of advanced SQL (window functions, CTEs). Should have strong knowledge of Python (NumPy/Pandas/Seaborn) and data visualisation (Power BI/Tableau/Looker/GDS), ETL exposure, Google Sheets and prompt engineering. Able to handle stakeholders independently with fewer interventions of the reporting manager. Develop strategies to solve problems in logical yet creative ways. We Would Be Excited …",2026-08-10
Data Analyst,EXL,"Pune, Maharashtra",,,"Description Must-Have: ● 4 / 5 years of professional experience as a Data Analyst with good decision-making, analytical and problem-solving skills. ● SQL, Pyspark, Python with Banking Domain knowledge - Credit & Lending. Working knowledge / experience of Big Data frameworks like Hadoop, Hive and Spark. ● Hands-on experience in query languages like HQL or SQL (Spark SQL) for Data exploration. ● Data mapping: Determine the data mapping required to join multiple data sets together across multiple …",2026-08-10
Data Analyst,Highfly Sourcing,India,1500000.0,2500000.0,"We are seeking a motivated Data Analyst to support business operations by analyzing data, preparing reports, and delivering meaningful insights. The ideal candidate should be comfortable working with data, identifying patterns, and presenting findings in a clear and actionable way. Key Responsibilities: Collect, clean, and organize data from internal and external sources Analyze large datasets to identify trends, patterns, and opportunities Prepare regular and ad-hoc reports for business stakeh…",2026-08-10
Data Analyst,Webkit24,"Kolkata, West Bengal",,,"Required Skills & Qualifications: Bachelors degree in Statistics, Mathematics, Computer Science, Economics, or related field 2 years of experience as a Data Analyst or similar role Strong knowledge of SQL, Excel, and data visualization tools (Tableau, Power BI, etc ) Familiarity with Python or R for data analysis is a plus Experience with data warehousing and ETL pipelines is preferred Excellent problem-solving and critical thinking skills Strong communication skills to explain complex data fin…",2026-08-10
Data Analyst,Webkit24,"Pune, Maharashtra",,,"Required Skills & Qualifications: Bachelors degree in Statistics, Mathematics, Computer Science, Economics, or related field 2 years of experience as a Data Analyst or similar role Strong knowledge of SQL, Excel, and data visualization tools (Tableau, Power BI, etc ) Familiarity with Python or R for data analysis is a plus Experience with data warehousing and ETL pipelines is preferred Excellent problem-solving and critical thinking skills Strong communication skills to explain complex data fin…",2026-08-10
Data Analyst,Hunarstreet Technologies Pvt Ltd,"Vadodara, Gujarat",600000.0,800000.0,"Job Overview As a Profile Data Setup Analyst, you will play a key role in configuring, analysing, and managing product data for our customers. You will work closely with internal teams and clients to ensure accurate, optimized, and timely data setup in Windowmaker software. This role is perfect for someone who enjoys problem-solving, working with data, and continuously learning. Key Responsibilities • Understand customer product configurations and translate them into structured data using Windo…",2026-08-10
Data Analyst,Ecolab,India,,,"Job Characteristics: Demonstrates use and application of data analysis principles to examine data systems and determine relationships and meaning of data, as it relates to business and system technical processes, and document accordingly. The employee should demonstrate mastering of skills in at least two of the following data analysis areas: SQL language usage, data governance and security practices, ELT/ETL strategy, quality-of-data evaluation and assessment, and data requirements generation …",2026-08-10
Data Analyst,Cytiva Life Science,"Bangalore, Karnataka",,,"Be part of something altogether life-changing Working at Cytiva in the Life Sciences industry means being at the forefront of providing new solutions to transform human health. Our incredible customers undertake life-saving activities ranging from fundamental biological research to developing innovative vaccines, new medicines, and cell and gene therapies. At Cytiva you will be able to continuously improve yourself and us – working on challenges that truly matter with people that care for each …",2026-08-10
Data Analyst,Jobdost,"Bangalore, Karnataka",0.0,500000.0,"About the role: We are looking for a motivated data analyst with sound experience in handling web/ digital analytics, to join us as part of the Kapiva D2C Business Team. This team is primarily responsible for driving sales and customer engagement on our website. This channel has grown 5x in revenue over the last 12 months and is poised to grow another 5x over the next six. It represents a high-growth, important part of our overall e-commerce growth strategy. The mandate here is to run an end-to…",2026-08-10
Data Analyst,Hunarstreet Technologies Pvt Ltd,"Gujarat, India",60000.0,700000.0,"Job Role : Profile Data Setup Analyst Job Title : Data Analyst Location : Vadodara | Department: Customer Service | Experience : 3 - 5 Years Job Overview A company, we’ve been transforming the window and door industry with intelligent software for over 40 years. Our solutions power manufacturers, dealers, and installers globally, enabling efficiency, accuracy, and growth. We are now looking for curious, data-driven professionals to join our mission of delivering world-class digital solutions to…",2026-08-10
Data Analyst,DXC Technology,India,,,"Job Description: Responsibilities as the Data Analyst: Analyzing the as-is data structures and mapping to new to-be data structures Writing high quality, testable user stories to ensure that these can be estimated, delivered by developers and used to define test automation and which. Analyzing, understanding and documenting existing system behavior, including data mapping and transformation to support integration design as well as identification of system features and data requirements . Unders…",2026-08-10
Data Analyst,Mr n Mrs Pet,"Jaipur, Rajasthan",100000.0,300000.0,"Requirements: Bachelor’s degree from university or college in computer science. Work experience as a data analyst or in a related field. Ability to work with stakeholders to assess potential risks. Ability to analyse existing tools and databases and provide software solution recommendations. Ability to translate business requirements into non-technical, lay terms. High-level experience in methodologies and processes for managing large-scale databases. Demonstrated experience in handling large d…",2026-08-10
Data Analyst,Colan Infotech Private Limited,"Chennai, Tamil Nadu",,,Greetings from Colan Infotech  Designation - Data Analyst Experience - 6-8 Years Notice Period - Immediate joiners only Job Location -Chennai(Work from office only) Required Skills & Experience Were looking for people who: 68 years of experience in Data Analytics / BI / Data Engineering Strong consultative mindset with excellent communication skills Experience building enterprise dashboards using Power BI or Tableau Comfortable working independently and with cross-functional teams Programming S…,2026-08-10
Data Analyst,Stripe,India,,,"Who we are About Stripe Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world's largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone's reach while doing the most important …",2026-08-10
Data Analyst,Awign,"Bangalore, Karnataka",400000.0,700000.0,We are looking for a result-driven candidate to join our analytics team as a Data Analyst. Duties And Responsibilities 1. Work closely with Operation Head to setup reporting structures using complex formula(s) over Google Sheets. 2. Should be able to use Google Apps Script towards creating simple applications for ongoing projects/clients. 3. To run a detailed analysis of project-level data to generate additional insights for clients in the form of analytical dashboards. 4. To build trackers for…,2026-08-10
Data Analyst,Align Technology,"Delhi, India",,,"Description We are seeking a Data Analyst to join our team in India. The ideal candidate will have 1-4 years of experience in data analysis, with a strong background in statistical analysis, data visualization, and reporting. You will be responsible for transforming raw data into actionable insights to drive business strategies. Responsibilities Collecting, processing, and analyzing data to provide insights and support decision-making. Creating reports and visualizations to communicate findings…",2026-08-10
Data Analyst,Vedita Ventures,"Chennai, Tamil Nadu",,,"Job Description: Dear All, Greetings from Vedita Ventures! Hiring - Data Analyst Both Male and Female candidates can apply Immediate joiners preferred Job Location: Chennai Monday to Friday Working Days. Essential Job Functions: Apply business knowledge through all stages of development. Design, develop, and maintain high-quality solutions. Communicate effectively. Stay current with business and technical knowledge and trends. Be agile, develop and follow best practices. Own your work and take …",2026-08-10
Data Analyst,Wissen Technology,"Bangalore, Karnataka",,,"Experience: 2 Years Mandatory Skills: Data Analysis, Data Mining, Data Validation, Python, SQL, Power BI, Advanced Excel Data Analyst We are looking for 1 Developer/Analyst to support data analysis, data mapping, and report automation initiatives. This is an entry-level role with structured training, ideal for candidates who are detail-oriented, proactive, and capable of working independently in a fast-paced environment. Key Responsibilities Perform data analysis and data validation across vari…",2026-08-10
Data Analyst,Genisys Information Systems India Private Limited,"Bangalore, Karnataka",,,"Notice Immediate: Immediate Joiners Location: Remote; Hours: US Pacific time business hours; US and client calendar (9PM to 5AM IST) NOTE: Individual is expected to and must be full-time dedicated to this role Position Overview: The Senior Data Analyst will play a critical role in analyzing and interpreting complex data to drive key business decisions. This individual will work closely with cross-functional teams to deliver actionable insights, optimize performance, and enhance our data-driven …",2026-08-10
Data Analyst,Appitsimple infotek Pvt. Ltd.,India,100000.0,300000.0,"Job role: As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven processes. Your role will involve driving initiatives to optimize for operational excellence and revenue. Responsibilities: Ensure that data flows smoothly from source to destination so that it can be processed Utilize strong database skills to work with large, complex data sets to extract insights Filter and cleanse unstructured …",2026-08-10
Data Analyst,Qrata,"Mumbai, Maharashtra",500000.0,1000000.0,"DATA ANALYST About: We allows customers to ""buy now and pay later"" for goods and services purchased online and offline portals. It's a rapidly growing organization opening up new avenues of payments for online and offline customers. Role: Define and continuously refine the analytics roadmap. Build, Deploy and Maintain the data infrastructure that supports all of the analysis, including the data warehouse and various data marts Build, deploy and maintain the predictive models and scoring infrast…",2026-08-10
Data Analyst,BitClass,"Bangalore, Karnataka",0.0,1600000.0,"BitClass, a VC funded startup (backed by the investors or Unacademy, Doubtnut, ShareChat, Meesho among others) in the domain of edtech, is looking for a data analyst to help in making better business decisions using information from the available data. The responsibility is to gather and prepare data from multiple sources, run statistical analyses, and communicate your findings in a clear and objective way. Responsibilities - Understanding the business requirements so as to formulate the proble…",2026-08-10
Data Analyst,ICE,"Hyderabad, Telangana",,,"Job Purpose We are looking for a passionate Data Analyst to support the Operations Analytics department at ICE. The successful candidate will play a crucial role in extracting actionable insights from large datasets to guide strategic decision making within the organization. Primary responsibilities will revolve around analyzing complex data sets, identifying patterns, and developing models to provide actionable recommendations to our stakeholders. Responsibilities Data Analysis: Collect, clean…",2026-08-10
Data Analyst,Amazon,"Bangalore, Karnataka",0.0,800000.0,"Data Analyst Job Description : About GlowRoad: GlowRoad is building India's most profitable social e-commerce platform where resellers share the catalog of products through their network on Facebook, Whatsapp, Instagram, etc and convert them to sales. GlowRoad is on a mission to create micro-entrepreneurs (resellers) who can set up their web-store, market their products and track all transactions through its platform. GlowRoad app has 15M downloads and 1- million  MAU's.- GlowRoad has been fund…",2026-08-10
Data Analyst,Novel Office,"Kolkata, West Bengal",,,"Job description Proactively analyse data using statistical methods to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources Data mining using advance excel formulas Work closely with …",2026-08-10
Data Analyst,Novel Office,"Hyderabad, Telangana",,,"Job description Proactively analyse data using statistical methods to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity Create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources Data mining using advance excel formulas Work closely with …",2026-08-10
Data Analyst,Extramarks,"Noida, Ghaziabad",0.0,1000000.0,Required Experience · 3 years of relevant technical experience as a data analyst role · Intermediate / expert skills with SQL and basic statistics · Experience in Advance SQL · Python programming- Added advantage · Strong problem solving and structuring skills · Automation in connecting various sources to the data and representing it through various dashboards · Excellent with Numbers and communicate data points through various reports/templates · Ability to communicate effectively internally a…,2026-08-10
Data Analyst,Arcana Analytics,India,,,"Arcana is a portfolio intelligence platform used by hedge funds and asset managers to analyze performance and risk. We’re rethinking the tools institutional investors rely on—and we’re hiring analysts who want to help drive that transformation. We are looking for a Data Analyst to work with large-scale financial datasets, ensure high data quality, and deliver actionable insights through dashboards and reports. The role focuses on building and maintaining robust data quality frameworks and colla…",2026-08-10
Data Analyst,MM Staffing & Career Consultants,"Mumbai, Maharashtra",,,"Job Description: Position : Data Analyst Location : Mumbai Experience requirement : 2-4Years Joining Date : Immediate to 30 days Job Description Responsibilities: · Utilize SQL, Alteryx, and Tableau/Power BI to extract, transform, and visualize data for analytical purposes. · Demonstrate intermediate-level proficiency in at least one of the major visualization tools (Tableau/Power BI). · Apply working knowledge of Apache Hive, Apache Spark, Impala, Presto, and Snowflake for data processing and …",2026-08-10
Data Analyst,Topcoder,"Noida, Ghaziabad",,,"Position Overview We are seeking a detail-oriented Data Analyst who will ensure that organizational data is accurately transformed, validated, and prepared for downstream consumption. Key Responsibilities Data Transformation & Integration Design, develop, and maintain ETL/ELT pipelines to consolidate data from disparate systems (databases, APIs, flat files) Apply business logic to normalize, enrich, and standardize incoming datasets Data Quality Assurance Implement validation rules and automate…",2026-08-10
Data Analyst,Wissen Technology,"Mumbai, Maharashtra",,,"Description of Role: We are looking for a career-minded professional with global perspective to join the Mumbai based Data & Analytics Group (DAG). Key responsibilities: As part of the Data & Analytics Group (DAG) and reporting to the Head of the India DAG locally, the individual is responsible for the following – 1.Review, analyze, and resolve data quality issues for enterprise core data in the IM Data Warehouse. 2.Coordinate with data owners and other teams to identify root-cause of data qual…",2026-08-10
Data Analyst,Cisco,"Bangalore, Karnataka",,,"Meet the Team: We are a high-performing Data and Analytics team dedicated to delivering insights and analytics for GTM Sales Use cases. Our mission is to drive the growth of Cisco’s Sales and recurring business and embed AI into every layer of decision-making. By demonstrating machine learning, large language models (LLMs), and automation, we are redefining how data fuels innovation and efficiency at scale. Your Impact: As a Data Analyst, you will play a pivotal role in transforming insights an…",2026-08-10
Data Analyst,Wipzo Systech Private Limited,"Pune, Maharashtra",,,"Job description Role: Data Analyst Number of open positions: 5 Location: Pune / Gurgaon/ Bengaluru Must-Have: - 6  years of work experience in large-scale Data applications doing Data Analysis, Data Mapping, Data Modelling and Data Transformations . Experience in Snowflake, Any relational DB Very good Verbal & Written communication & tracking skills Strong SQL , business requirement gatherings , S ource-to-target mappings (STTM) writing Should have exposure to data consolidation, transformation…",2026-08-10
Data Analyst,Cisco,"Bangalore, Karnataka",,,"Meet the Team: We are a high-performing Data and Analytics team dedicated to delivering insights and analytics for GTM Sales Use cases. Our mission is to drive the growth of Cisco's Sales and recurring business and embed AI into every layer of decision-making. By demonstrating machine learning, large language models (LLMs), and automation, we are redefining how data fuels innovation and efficiency at scale. Your Impact: As a Data Analyst, you will play a pivotal role in transforming insights an…",2026-08-10
Data Analyst,Amex,"Bangalore, Karnataka",,,"Amex GBT is a place where colleagues find inspiration in travel as a force for good and – through their work – can make an impact on our industry. We’re here to help our colleagues achieve success and offer an inclusive and collaborative culture where your voice is valued. We are seeking an experienced Data Analyst to join our Innovation and Development team at American Express Global Business Travel. In this role, you will lead data-driven initiatives, architect scalable data solutions, and me…",2026-08-10
Data Analyst,Stellaspire,"Bangalore, Karnataka",,,"Designation - Data Analyst (2years’ Experience) Location - Bangalore Position - Full-Time (No Hybrid) About Us AI ML Startup set up in 2015 which is in the domain of power, banking, agriculture sector etc. and working directly with Karnataka Govt to offer insights and decisions. Company website: - https://quenext.com/ You will be part of the team that is delivering large transformational projects to energy utilities, banks and government bodies utilizing our in-house patented AI driven products…",2026-08-10
Data Analyst,Colruyt IT Consultancy India,"Coimbatore, Tamil Nadu",,,"Job Summary: We are seeking a highly skilled Senior Data Analyst with8-10 years of experience to join our dynamic team. The ideal candidate will utilize their expertise in data analysis, visualization, and business intelligence to support data-driven decision-making across the organization. You will be responsible for transforming data into actionable insights that drive business strategies and improve operational efficiency. Key Responsibilities: Data Collection & Preparation: - Collect, clean…",2026-08-10
Data Analyst,Colruyt IT Consultancy India,"Hyderabad, Telangana",,,"Job Summary: We are seeking a highly skilled Senior Data Analyst with8-10 years of experience to join our dynamic team. The ideal candidate will utilize their expertise in data analysis, visualization, and business intelligence to support data-driven decision-making across the organization. You will be responsible for transforming data into actionable insights that drive business strategies and improve operational efficiency. Key Responsibilities: Data Collection & Preparation: - Collect, clean…",2026-08-10
Data Analyst,ICAD school of Learning,"Nagpur, Maharashtra",500000.0,800000.0,"Job Summary The Data Analyst is required to Data capture, data cleaning, data preparation, data management and data analysis and interpretations required by the Business. Handle data factory with precision and confidentiality. The role is crucial for providing actionable insights to improve teaching quality, enhance student performance, optimize business operations, and drive growth. Essential Job Responsibilities: Academic Data Analysis · Analyze student performance data from internal assessme…",2026-08-10
Data Analyst,Gainwell Technologies,"Bangalore, Karnataka",,,"Summary As a Data Analyst at Gainwell, you will contribute your skills as we harness the power of technology. Connect your passion with purpose by contributing to a team that plays a crucial role in supporting our financial analysis and reporting needs. You will build new reports, monitor key financial metrics, and provide insights to assist management in decision-making. This role is strictly involved in business analysis, requirements documentation, and healthcare reference data support activ…",2026-08-10
Data Analyst,Technogen,"Bangalore, Karnataka",,,Job Code : JPC – 36740 We are looking for a creative data analyst who has strong experience in both data visualization and data workflow construction Analyst must be proficient in both Hadoop and Alteryx (Hadoop certification required) Analyst must have experience working with senior leadership to both comprehend and produce desired outputs Experience building Hadoop dashboards showing multiple visual views of performance with easy drill down capability Preferred candidate will be well versed i…,2026-08-10
Data Analyst,Clinton Health Access Initiative,"Bhopal, Madhya Pradesh",300000.0,400000.0,"The Clinton Health Access Initiative, Inc. (CHAI) is a global health organization committed to saving lives and reducing the burden of disease in low-and middle-income countries, while strengthening the capabilities of governments and the private sector in those countries to create and sustain high-quality health systems that can succeed without our assistance. For more information, please visit: http://www.clintonhealthaccess.org In India, CHAI has worked on various initiatives with the Nation…",2026-08-10
Data Analyst,Space Stem,"Ahmedabad, Gujarat",,,"Skills SQL knowledge for data querying and manipulation. Experience in retail, loyalty, e-commerce, or customer analytics environments. Familiarity with ETL processes and data pipeline concepts. Exposure to custom dashboard development or modern BI platforms. Basic understanding of JavaScript, APIs, or cloud-based analytics solutions. Essential 2–5 years of experience in a Data Analyst, BI Analyst, or Reporting Analyst role. Advanced Microsoft Excel skills (pivot tables, complex formulas, model…",2026-08-10
Data Analyst,Mantras2Success,"Ahmedabad, Gujarat",,,"Job Description: Position Summary: We are seeking a meticulous and skilled MIS/data analyst to join our team. The ideal candidate will be proficient in advanced Excel and Google Sheets, adept at using complex formulas, and capable of transferring data from CRM software such as Skynamo, Freshsales, and Xero into Google Sheets. The role involves creating insightful dashboards and revenue models to support data-driven decision-making. Key Responsibilities: Data Management: Transfer and manage data…",2026-08-10
Data Analyst,DS Group,India,826000.0,1239000.0,"Job Title: Tableau Data Analyst / BI Developer Location: Noida – DS Headquarters ROLE SUMMARY We are looking for a highly skilled, hands-on Data Analyst / BI Developer who is exceptional in Tableau and even stronger in advanced SQL and data understanding. The role will own the complete analytics lifecycle—from understanding a business question and validating source data to building optimized SQL datasets and publishing reliable, decision-ready Tableau dashboards. The successful candidate must b…",2026-08-10
Data Analyst,Anaplan,India,,,"At Anaplan, we are a team of innovators focused on optimizing business decision-making through our leading AI-infused scenario planning and analysis platform so our customers can outpace their competition and the market. What unites Anaplanners across teams and geographies is our collective commitment to our customers’ success and to our Winning Culture. Our customers rank among the who’s who in the Fortune 50. Coca-Cola, LinkedIn, Adobe, LVMH and Bayer are just a few of the 2,400 global compan…",2026-08-10
Data Analyst,DAZN,"Hyderabad, Telangana",,,"Is your next career move to work in a team which uses data, reporting and analytical skills to help answer business questions to make DAZN a data-driven company? DAZN is a tech-first sport streaming platform that reaches millions of users every week. We are challenging a traditional industry and giving power back to the fans. Our new Hyderabad tech hub will be the engine that drives us forward to the future. We’re pushing boundaries and doing things no-one has done before. Here, you have the op…",2026-08-10
Data Analyst,Michelin,"Pune, Maharashtra",,,"Job description Data Analyst The e-Retail Digital Marketing Analyst position involves working directly with a dynamic team of e-Retail business analysts based in Lyon, France, as they assist internal business partners in developing e-Retail strategies to achieve Michelin business goals. Tracks, measures, analyzes trends of the e-Retail execution of Michelin tyre products on identified e-Commerce websites, with a focus on defined KPIs Understands e-Retail business requirements and how to map tho…",2026-08-10
Data Analyst,Immunogen Pharmaceutical,"Bangalore, Karnataka",,,"About Immunogen Targeting a better life for people with cancer is why we get up in the morning. It’s not enough to disrupt the progress of someone’s cancer; we want to keep cancer from disrupting someone’s life. That’s why everything we do is about developing the most precise, targeted cancer therapies. We believe this is the best way to get people back to their lives – back to living today, tomorrow, and beyond. For us, targeting a better now is the only thing that matters. About the role Canc…",2026-08-10
Data Analyst,Easemytrip com,"Navi Mumbai, Maharashtra",,,"About the Role As a Data Analyst at EaseMyTrip.com, you will be crucial in analyzing travel data to drive business insights and decisions. Your role involves harnessing large sets of data to identify trends, forecast demand, and optimize our services to enhance customer satisfaction. You will collaborate closely with various departments, including marketing, sales, and customer service, to support our mission of delivering exceptional travel experiences. This position is key to driving data-dri…",2026-08-10
Data Analyst,Fortive,India,,,"Description The Data Analyst will focus on advanced analytics, predictive modeling, and scalable BI development to support Sales leadership with forward-looking insights. This role is responsible for building and maintaining predictive, repeatable reporting frameworks across forecasting, top-of-funnel performance, and core sales KPIs. Advanced Analytics & Predictive Modeling Design and maintain predictive models to support revenue forecasting, pipeline movement, deal progression, and funnel con…",2026-08-10
Data Analyst,Amagi Media Labs,"Bangalore, Karnataka",1000000.0,2000000.0,"Data Analyst Job Description Summary Are you passionate about handling large & complex data problems, want to make an impact and have the desire to work on ground-breaking big data technologies? Then we are looking for you. At Amagi, great ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Would you like to work in a fast-paced environment where your technical ab…",2026-08-10
Data Analyst,Ecolab,India,,,"About the Role We are seeking a Data Analyst to join our Analytics & Digital Solutions (ADS) organization. In this role, you will lead initiatives that deliver scalable, action-oriented analytics solutions supporting Global Logistics function. You will partner closely with Logistics and data engineering teams to co-create high-quality analytics products, support design reviews, and enable structured deployments. As a functional analyst, you will also drive adoption, change management, and susta…",2026-08-10
Data Analyst,Cognizant,India,,,Job Summary This hybrid role for an experienced data analyst involves using Python Excel VBA macros Tableau Power BI and exploratory data analysis to transform complex datasets into actionable insights for an international organization. The analyst will design efficient reporting solutions optimize data workflows and support strategic decisions across business units while applying industry essentials knowledge to improve processes and contribute to sustainable growth. Responsibilities Analyze c…,2026-08-10
Data Analyst,Delhivery,"Gurgaon, Haryana",,,"Role & Responsibilities: Utilize SQL to query, extract, and manipulate large datasets from relational databases to generate insightful reports and analyses. Use Python for data analysis, data cleaning, and automation tasks, including libraries like Pandas, NumPy, and Matplotlib. Create and maintain interactive dashboards and visualizations using tools like Tableau , Power BI , or similar. Conduct statistical analysis to identify trends, patterns, and insights in large datasets. Work with busine…",2026-08-10
Data Analyst,Amagi Media Labs,"Bangalore, Karnataka",1000000.0,1400000.0,"1. 2 to 4 years of experience 2. hands on experience using python, sql, tablaue 3. Data Analyst About Amagi ( www.amagi.com ): Amagi is a market leader in cloud based media technology services for channel creation, distribution and ad monetization. Amagi’s cloud technology and managed services is used by TV networks, content owners, sports rights owners and pay TV / OTT platforms to create 24x7 linear channels for OTT and broadcast and deliver them to end consumers. Amagi’s pioneering and marke…",2026-08-10
Data Analyst,Cognizant,"Bangalore, Karnataka",,,Job Summary This hybrid role for an experienced data analyst involves using Python Excel VBA macros Tableau Power BI and exploratory data analysis to transform complex datasets into actionable insights for an international organization. The analyst will design efficient reporting solutions optimize data workflows and support strategic decisions across business units while applying industry essentials knowledge to improve processes and contribute to sustainable growth. Responsibilities  Analyze …,2026-08-10
Data Analyst,HP,India,,,"Data Analyst Description - Job Summary • This role is responsible for collecting, analyzing, interpreting, and presenting data to support decision-making and provide insights to the organization. The role applies statistical and analytical methods to explore data, identify trends, patterns, and anomalies, and extract actionable insights. The role helps organization make data-driven decisions, optimize processes, and achieve their strategic objectives. The role provides strategic recommendations…",2026-08-10
Data Analyst,Hudson Data,India,900000.0,1200000.0,"About Hudson Data At Hudson Data, we view AI as both an art and a science. Our cross-functional teams — spanning business leaders, data scientists, and engineers — blend AI/ML and Big Data technologies to solve real-world business challenges. We harness predictive analytics to uncover new revenue opportunities, optimize operational efficiency, and enable data-driven transformation for our clients. Beyond traditional AI/ML consulting, we actively collaborate with academic and industry partners t…",2026-08-10
Data Analyst,TriNet,"Hyderabad, Telangana",,,"Description TriNet is a leading provider of comprehensive human resources solutions for small to midsize businesses (SMBs). We enhance business productivity by enabling our clients to outsource their HR function to one strategic partner and allowing them to focus on operating and growing their core businesses. Our full-service HR solutions include features such as payroll processing, human capital consulting, employment law compliance and employee benefits, including health insurance, retiremen…",2026-08-10
Data Analyst,Cohere Health,"Hyderabad, Telangana",,,"Opportunity Overview: We are seeking a highly analytical, detail-oriented, and results-driven Data Analyst to join our dynamic Payment Integrity team. This role is critical in transforming complex healthcare claims, provider, operational, and financial data into actionable insights that improve business performance, optimize audit outcomes, and drive operational excellence. The ideal candidate will be highly skilled at uncovering patterns in data, connecting the dots across multiple data source…",2026-08-10
Data Analyst,Fortive Corporation,India,,,"The Data Analyst will focus on advanced analytics, predictive modeling, and scalable BI development to support Sales leadership with forward-looking insights. This role is responsible for building and maintaining predictive, repeatable reporting frameworks across forecasting, top-of-funnel performance, and core sales KPIs. _Advanced Analytics & Predictive Modeling_  Design and maintain predictive models to support revenue forecasting, pipeline movement, deal progression, and funnel conversion. …",2026-08-10
Data Analyst,Bajaj Finance,India,,,"Job Purpose Responsible for analyzing, transforming, and deriving insights from large-scale data using Databricks and modern data stack technologies. Designs and executes data pipelines using SQL and PySpark on Databricks, leveraging Unity Catalog for data governance and management. Collaborates with cross-functional teams to build data models, perform exploratory analysis, and deliver actionable insights. Optimizes queries on SQL Warehouses, integrates external APIs where needed, and ensures d…",2026-08-10
Data Analyst,Barracuda Networks,"Bangalore, Karnataka",,,"Come join our passionate team! Barracuda is a leading cybersecurity company providing complete protection against complex threats. Our platform protects email, data, applications, and networks with innovative solutions, and a managed XDR service, to strengthen cyber resilience. Hundreds of thousands of IT professionals and managed service providers worldwide trust us to protect and support them with solutions that are easy to buy, deploy, and use. We know a diverse workforce adds to our collect…",2026-08-10
Data Analyst,S&P Global,"Mumbai, Maharashtra",,,"About The Role Grade Level (for internal use): 07 The Role We are looking for a detail-oriented and career-minded Data Analyst to join our Private Markets Data Operations team in Malaysia. This role is ideal for early-career professionals who are eager to build deep expertise in Private Equity data, financial statements, and fund structures, while developing strong analytical and automation skills. The Impact You will support the collection, analysis, validation, and maintenance of high-quality…",2026-08-10
Data Analyst,The Smart Cube,"Noida, Ghaziabad",200000.0,500000.0,"• Act as a lead analyst on various data analytics projects aiding strategic decision making for Fortune 500 / FTSE 100 companies, Blue Chip Consulting Firms and Global Financial Services companies • Understand the client objectives, and work with the PL to design the analytical solution/framework. Be able to translate the client objectives / analytical plan into clear deliverables with associated priorities and constraints • Collect/Organize/Prepare/Manage data for the analysis and conduct qual…",2026-08-10
Data Analyst,Headout,"Bangalore, Karnataka",,," Why Headout? We’re a rocketship: 9-figure revenue, record growth, and profitable With $200M in revenue, guests in 700 cities, and 18 months of profitability, Headout is the fastest-growing marketplace in the travel industry, and we’re just getting started. We've raised $60M from top-tier investors and are building a durable company for the long term — because that's what our mission needs and deserves. We’re growing, profitable and nowhere near done. What we do is important In an increasingly …",2026-08-10
