,Name,Rating,Reviews,About_Locations,Avg_salary,TotalJobs
139,vivo,4.1,(4.9k),Consumer Electronics & Appliances | Noida +415 other locations,12.9k,7
140,Atos,3.8,(4.9k),IT Services & Consulting | Pune +49 other locations,33.9k,107
141,KEC International,4.0,(4.8k),Engineering & Construction | Mumbai +312 other locations,13.4k,6
142,Ecom Express,4.0,(4.8k),Logistics | Gurugram +778 other locations,9.5k,--
143,Amdocs,3.6,(4.8k),Software Product | Pune +24 other locations,37.3k,13
144,JBM Group,3.9,(4.8k),Auto Components | Gurugram +118 other locations,14.1k,70
145,Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations,27.8k,1
146,Varun Beverages,4.0,(4.7k),Beverage | New Delhi +382 other locations,12.2k,47
147,ITC Infotech,3.7,(4.7k),IT Services & Consulting | Bengaluru +68 other locations,29.6k,79
148,Nagarro,3.9,(4.7k),IT Services & Consulting | Gurugram +49 other locations,32.9k,352
149,Bosch,4.1,(4.6k),Auto Components | Bengaluru +132 other locations,21k,--
150,Randstad,3.7,(4.6k),Recruitment | Hyderabad +357 other locations,16.7k,8
151,EY Global Delivery Services ( EY GDS),3.5,(4.6k),IT Services & Consulting | Bengaluru +56 other locations,50.2k,9
152,Utkarsh Small Finance Bank,3.6,(4.6k),Banking | Varanasi +407 other locations,11.2k,20
153,Hewlett Packard Enterprise,4.1,(4.6k),IT Services & Consulting | Bengaluru +104 other locations,27.3k,279
154,Home Credit Finance,4.0,(4.5k),NBFC | Gurugram +138 other locations,9.4k,112
155,Cars24,3.5,(4.5k),Internet | Gurugram +171 other locations,15.6k,70
156,Aditya Birla Fashion and Retail,4.0,(4.5k),Fashion & Textile | Bengaluru +292 other locations,13.3k,53
157,Mahindra Logistics,3.7,(4.5k),Logistics | Mumbai +235 other locations,12.9k,--
158,L&T Finance,3.9,(4.5k),NBFC | Mumbai +636 other locations,11.8k,--
159,Havells,3.9,(4.5k),Electrical Equipment | Noida +262 other locations,15k,21
160,Dell,3.8,(4.5k),Consumer Electronics & Appliances | Bengaluru +118 other locations,28.9k,35
161,Intas Pharmaceuticals,4.1,(4.5k),Pharma | Ahmedabad +150 other locations,17.2k,64
162,R1 RCM,3.8,(4.5k),BPO | New Delhi +46 other locations,21.5k,287
163,OPPO,3.9,(4.5k),Consumer Electronics & Appliances | Greater Noida +412 other locations,11.8k,4
164,Tata AIA Life Insurance,3.9,(4.4k),Insurance | Mumbai +445 other locations,14.5k,684
165,Hyundai Motor India Limited,4.1,(4.4k),Automobile | Chennai +286 other locations,14k,--
166,Deutsche Bank,3.8,(4.4k),Banking | Pune +42 other locations,36.7k,584
167,Hetero,3.9,(4.4k),Pharma | Hyderabad +68 other locations,15.3k,166
168,Motilal Oswal Financial Services,3.7,(4.3k),Financial Services | Mumbai +170 other locations,13k,49
